park,year,total_sq_kilometers,country,state_region_province,closest_city,distance_from_closest_city
Stolowe Mountains ,1993,63,Poland,Silesia,Walbrzych,56
Magura,1995,194,Poland,Southeastern Poland,Tarnow,90
Narew,1996,68,Poland,Northeastern Poland,Bialystok,38
Tuchola Forest ,1996,48,Poland,Wielkopolska and Pomerania,Bygdoszcz,93
Ujscie Warty ,2001,80,Poland,Wielkopolska and Pomerania,Gorzow Wielkopolski ,46
Cheile Bicazului-Hasmas ,1990,66,Romania,Moldavia,Bacau,168
Piatra Craiului ,1990,148,Romania,Transylvania,Brasov,51
Calimani ,2000,259,Romania,Transylvania,Botosani,168
Cozia,2000,171,Romania,Wallachia,Sibiu,76
Domogled-Valea Cernei ,2000,612,Romania,The Banat,Timisoara,193
Nera Gorge-Beusnita ,2000,368,Romania,The Banat,Timisoara,105
Retezat ,2000,380,Romania,Transylvania,Timisoara,223
Rodna Mountains ,2000,466,Romania,Maramures,Baia Mare,123
Semenic-Caras Gorge ,2000,357,Romania,The Banat,Timisoara,131
Buila-Vanturarita ,2005,42,Romania,Wallachia,Pitesti,94
Defileul Jiului ,2005,111,Romania,Transylvania,Sibiu,199
Fruska Gora ,1960,254,Serbia,Northern Serbia,Novi Sad,22
Djerdap,1974,637,Serbia,Eastern Serbia,Belgrade,131
Kopaonik ,1981,118,Serbia,Southern Serbia,Pristina,236
Tara,1981,192,Serbia,Western Serbia,Sarajevo ,155
Tatra,1949,703,Slovakia,Northern Slovakia,Kosice,136
Pieniny,1967,38,Slovakia,Northern Slovakia,Kosice,122
Low Tatras,1978,728,Slovakia,Central Slovakia,Kosice,132
Mala Fatra ,1988,226,Slovakia,Central Slovakia,Ostrava,117
Poloniny,1997,298,Slovakia,Northeastern Slovakia,Uzzhorod,84
Muranska Planina ,1998,203,Slovakia,Central Slovakia,Kosice,123
Slovak Paradise ,1998,198,Slovakia,Eastern Slovakia,Kosice,81
Slovak Karst ,2002,346,Slovakia,Southeastern Slovakia,Kosice,68
Vel’ka Fatra ,2002,404,Slovakia,Central Slovakia,Ostrava,147
Ordesa y Monte Perdido ,1918,156,Spain,Aragon,Zaragoza,165
Picos de Europa ,1918,671,Spain,Cantabria and Asturias,Oviedo,81
Aiguestortes i Estany de Sant Maurici ,1955,141,Spain,Catalunya,Lleida,151
Donana,1969,543,Spain,Andalucia,Huelva,63
Tablas de Daimiel ,1973,30,Spain,New Castile and Extremadura,Madrid ,184
Cabaneros,1995,409,Spain,New Castile and Extremadura,Madrid ,165
Sierra Nevada ,1999,859,Spain,Andalucia,Granada ,30
Illas Atlanticas de Galicia ,2002,85,Spain,Galicia,Pontevedra,32
Monfrague,2007,184,Spain,New Castile and Extremadura,Madrid ,229
Sierra de Guadarrama ,2013,340,Spain,Around Madrid,Madrid ,67
Sierra de las Nieves ,2021,230,Spain,Andalucia,Marbella,23
Abisko,1909,77,Sweden,Swedish Lapland,Oulu,581
Angso,1909,2,Sweden,Stockholm and Around,Stockholm,67
Garphyttan,1909,1,Sweden,The Southeast,Orebro ,22
Gotska Sandon ,1909,45,Sweden,The Southeast,Stockholm,127
Hamra ,1909,0.3,Sweden,The Bothnian Coast,Uppsala,331
Pieljekaise,1909,153,Sweden,Swedish Lapland,Trondheim,525
Sanfjallet,1909,103,Sweden,Central Sweden,Uppsala,445
Sarek,1909,1970,Sweden,Swedish Lapland,Oulu,500
Dalby Soderskog ,1918,4,Sweden,The Southwest,Malmo,26
Vadvetjakka,1920,26,Sweden,Swedish Lapland,Oulu,650
Bla Jungfrun ,1926,2,Sweden,The Southeast,Linkoping,137
Norra Kvill ,1929,1,Sweden,The Southeast,Linkoping,88
Tofsingdalen,1930,16,Sweden,Central Sweden,Oslo,335
Muddus,1942,493,Sweden,Swedish Lapland,Oulu,380
Padjelanta,1962,1984,Sweden,Swedish Lapland,Trondheim,675
Tiveden,1983,14,Sweden,The Southeast,Orebro ,83
Skuleskogen,1984,24,Sweden,The Bothnian Coast,Uppsala,434
Store Mosse ,1989,79,Sweden,The Southeast,Jonkoping,64
Bjornlandet ,1991,11,Sweden,Swedish Lapland,Trondheim,520
Djuro ,1991,24,Sweden,Gothenburg and Around,Gothenburg,155
Tyresta,1993,20,Sweden,Stockholm and Around,Stockholm,20
Haparanda Archipelago ,1995,60,Sweden,The Bothnian Coast,Oulu,101
Tresticklan,1996,29,Sweden,Gothenburg and Around,Gothenburg,179
Farnebofjarden,1998,101,Sweden,Central Sweden,Uppsala,73
Soderasen ,2001,16,Sweden,The Southwest,Helsingborg,47
Fulufjallet ,2002,385,Sweden,Central Sweden,Oslo,295
Kosterhavet ,2009,398,Sweden,Gothenburg and Around,Gothenburg,166
Asnen,2018,19,Sweden,The Southwest,Helsingborg,174
Swiss ,1914,172,Switzerland,Graubunden,Bolzano Bozen,116
Peak District ,1951,1438,United Kingdom,W Midlands,Sheffield,23
Lake District ,1951,2292,United Kingdom,Cumbria and the Lakes,Newcastle,132
Snowdonia,1951,2142,United Kingdom,Snowdonia and the Llyn,Liverpool,106
Dartmoor,1951,856,United Kingdom,Devon and Cornwall,Plymouth,21
Pembrokeshire Coast ,1952,620,United Kingdom,SW Wales,Swansea,105
North York Moors ,1952,1436,United Kingdom,Yorkshire,Middlesborough,31
Yorkshire Dales ,1954,2179,United Kingdom,Yorkshire,Leeds,35
Exmoor,1954,683,United Kingdom,Devon and Cornwall,Exeter,45
Northumberland,1956,1049,United Kingdom,Northeast,Newcastle,39
Brecon Beacons ,1957,1351,United Kingdom,Brecon Beacons and Powys,Cardiff,56
The Broads ,1989,303,United Kingdom,East Anglia,Norwich,19
Loch Lomond and the Trossachs ,2002,1865,United Kingdom,"Stirling, Loch Lomond and the Trossachs",Glasgow,47
Cairngorms,2003,4528,United Kingdom,Cairngorms and Speyside,Dundee,51
New Forest ,2005,580,United Kingdom,"Hampshire, Dorset and Wiltshire",Southampton,10
South Downs ,2009,1641,United Kingdom,"Surrey, Kent and Sussex",Worthing,43
Carpathian,1980,503,Ukraine,Ivano-Frankivsk Oblast,Ivano-Frankivsk,93
Shatsky,1983,325,Ukraine,Volyn Oblast,Brest,99
Synevir ,1989,404,Ukraine,Zakarpattia Oblast,Ivano-Frankivsk,165
Uzhanian,1991,382,Ukraine,Zakarpattia Oblast,Uzzhorod,71
Azov-Syvash ,1993,522,Ukraine,Kherson Oblast,Melitpol,100
Vyzhnytsia,1995,79,Ukraine,Chernivtsi Oblast,Chernivtsi,65
Holy Mountains ,1997,406,Ukraine,Donetsk Oblast,Slovyansk,14
Yavorivskyi ,1998,71,Ukraine,Lviv Oblast,Lviv,49
Desna-Starogutsky ,1999,162,Ukraine,Sumy Oblast,Bryansk,141
Skole Beskids ,1999,357,Ukraine,Lviv Oblast,Lviv,111
Hutsulshchyna,2002,323,Ukraine,Ivano-Frankivsk Oblast,Ivano-Frankivsk,95
Halych,2004,147,Ukraine,Ivano-Frankivsk Oblast,Ivano-Frankivsk,22
Homolsh Woods ,2004,143,Ukraine,Kharkiv Oblast,Kharkiv ,52
Ichnya ,2004,97,Ukraine,Chernihiv Oblast,Brovary,133
Great Meadow ,2006,168,Ukraine,Zaporizhzhia Oblast,Zaporizhzhia,72
Mezynsky,2006,310,Ukraine,Chernihiv Oblast,Chernihiv,149
Holosiivskyi,2007,45,Ukraine,Kyiv Oblast,Kyiv,0
Prypiat-Stokhid ,2007,393,Ukraine,Volyn Oblast,Lutsk,159
Lower Dniester ,2008,213,Ukraine,Odessa Oblast,Odessa,41
Buzk’s Gard ,2009,61,Ukraine,Mykolaiv Oblast,Kropyvnytskyi ,120
Charming Harbor ,2009,63,Ukraine,Crimea,Yevpatoroya,101
Cheremosh,2009,71,Ukraine,Chernivtsi Oblast,Chernivtsi,121
Derman-Ostroh ,2009,16,Ukraine,Rivne Oblast,Rivne,44
Dvorichanskyi ,2009,31,Ukraine,Kharkiv Oblast,Kharkiv,167
Dzharylhak,2009,100,Ukraine,Kherson Oblast,Kherson,71
Hetman,2009,234,Ukraine,Sumy Oblast,Sumy,59
Ivory Coast ,2009,352,Ukraine,Mykolaiv Oblast,Mykolaiv,190
Karmelyukove Podillya ,2009,165,Ukraine,Vinnytsia Oblast,Vinnytsia,133
Kremenets,2009,70,Ukraine,Ternopil Oblast,Uzzhorod,90
Meotida,2009,207,Ukraine,Donetsk Oblast,Mariupol,47
Pyryatyn,2009,120,Ukraine,Poltava Oblast,Cherkasy,138
Sloboda,2009,52,Ukraine,Kharkiv Oblast,Kharkiv,96
Synyohora,2009,109,Ukraine,Ivano-Frankivsk Oblast,Ivano-Frankivsk,59
Tuzly Lagoons ,2009,109,Ukraine,Odessa Oblast,Odessa,175
White Lake ,2009,70,Ukraine,Kyiv Oblast,Cherkasy,81
Zacharovany Krai ,2009,61,Ukraine,Zakarpattia Oblast,Uzzhorod,97
Zalissya ,2009,148,Ukraine,Kyiv Oblast,Kyiv,51
Dniester Canyon ,2010,108,Ukraine,Ternopil Oblast,Chernivtsi,63
Khotyn,2010,94,Ukraine,Chernivtsi Oblast,Chernivtsi,41
Lower Sula ,2010,169,Ukraine,Potlava Oblast,Kremenchuk ,89
Northern Podillya ,2010,156,Ukraine,Lviv Oblast,Ternopil,84
Oleshky,2010,80,Ukraine,Kherson Oblast,Kherson,40
Pryazovskyi ,2010,781,Ukraine,Zaporizhzhia,Melitpol,77
Tsumanska Puscha ,2010,335,Ukraine,Volyn Oblast,Lutsk,53
Verkhovyna,2010,120,Ukraine,Ivano-Frankivsk Oblast,Chernivtsi,150
Lower Polissia ,2013,95,Ukraine,Khmelnytskyi Oblast,Rivne,88
Podilski Tovtry ,2015,802,Ukraine,Khmelnytskyi Oblast,Chernivtsi,127
