park,year,total_sq_kilometers,country,state_region_province,closest_city,distance_from_closest_city
Gesause,2002,110,Austria,Styria,Salzburg,187
Belovezhskaya Pushcha,1932,1502,Belarus,Brest,Brest,59
Braslau Lakes ,1995,691,Belarus,Braslaw,Vilnius,181
Pripyatski ,1996,858,Belarus,Gomel,Baronovici ,125
Naranchanski,1999,1178,Belarus,"Minsk, Grodno and Vitebsk",Vilnius,112
De Zoom-Kalmthoutse Heide ,2001,38,Belgium,Antwerp and the NE,Antwerp,29
Hoge Kempen ,2006,127,Belgium,Antwerp and the NE,Maastricht,9
Sutjeska,1962,161,Bosnia Herzegovina,Republic of Srpska,Sarajevo,107
Kozara,1967,39,Bosnia Herzegovina,Republic of Srpska,Zagreb,178
Una,2008,350,Bosnia Herzegovina,NW Bosnia,Zagreb,177
Drina,2017,63,Bosnia Herzegovina,Republic of Srpska,Sarajevo,159
Pirin,1962,402,Bulgaria,Southwest,Plovdiv ,163
Central Balkan ,1991,717,Bulgaria,Balkan Range and Danubian Plain,Plovdiv,87
Rila,1992,810,Bulgaria,Southwest,Sofia,73
Plitvice Lakes ,1949,297,Croatia,Inland Croatia,Zagreb,130
Paklenica,1949,95,Croatia,Kvarner Gulf,Split,176
Risnjak,1953,64,Croatia,Inland Croatia,Rijeka,43
Mljet,1960,98,Croatia,Dubrovnik and Around,Split,211
Kornati ,1980,218,Croatia,Dalmatia,Split,186
Brijuni,1983,34,Croatia,Istria,Rijeka,70
Krka,1985,109,Croatia,Dalmatia,Split,84
Sjeverni Velebit ,1999,109,Croatia,Kvarner Gulf,Rijeka,98
Pedagogical Academy ,1983,5,Cyprus,South Nicosia,Nicosia,5
Liopetri Forest ,1984,9,Cyprus,Famagusta and the Karpaz Peninsula,Nicosia,79
Athalassa,1990,8,Cyprus,South Nicosia,Nicosia,9
Troodos,1992,91,Cyprus,Limassol and Around,Limassol,58
Cape Greco ,1993,39,Cyprus,Famagusta and the Karpaz Peninsula,Nicosia,95
Polemidia,1996,13,Cyprus,Limassol and Around,Limassol,6
Rizoelia,1998,10,Cyprus,Larnaca and Around,Nicosia,43
Agios Nikandros ,2000,3,Cyprus,Famagusta and the Karpaz Peninsula,Nicosia,88
Petra tou Romiou ,2001,35,Cyprus,Pafos and the West,Limassol,68
Karpasia/Dipkarpaz ,2004,66,Cyprus,Famagusta and the Karpaz Peninsula,Nicosia,139
Machairas ,2004,45,Cyprus,South Nicosia,Nicosia,47
Akamas,2022,230,Cyprus,Pafos and the West,Limassol,111
Krkonose Mountains ,1963,370,Czech Republic,East Bohemia,Prague,133
Sumava,1981,681,Czech Republic,South Bohemia,Prague,148
Podyji ,1991,63,Czech Republic,South Moravia,Brno,85
Bohemian Switzerland ,2000,80,Czech Republic,North Bohemia,Dresden,55
Thy,2008,244,Denmark,Jutland,Aalborg,121
Mols Berge ,2009,180,Denmark,Jutland,Aarhus,32
Wadden Sea ,2010,1466,Denmark,Southern Denmark,Odense,119
Land of the Scylding ,2015,170,Denmark,Zealand,Copenhagen,45
Kongernes Nordsjaelland ,2018,263,Denmark,Zealand,Copenhagen,49
Matsalu,1957,489,Estonia,Western Estonia,Tallinn,117
Lahemaa,1971,747,Estonia,Northern Estonia,Tallinn,46
Karula,1993,124,Estonia,Southern Estonia,Tallinn,252
Soomaa,1993,398,Estonia,Southwestern Estonia,Tallinn,136
Vilsandi ,1993,239,Estonia,Western Estonia,Tallinn,203
Alutaguse,2018,443,Estonia,Eastern Estonia,Tallinn,193
,,,,,,
Lemmonjoki ,1956,2850,Finland,Finnish Lapland,Oulu,522
Liesjarvi,1956,22,Finland,Lake District,Helsinki,95
Linnansaari,1956,38,Finland,Lake District,Jyvaskyla,184
Oulanka,1956,270,Finland,Karelia and Kainuu,Oulu,269
Petkeljarvi,1956,6,Finland,Karelia and Kainuu,Jyvaskyla,336
Pyha-Hakki ,1956,13,Finland,Lake District,Jyvaskyla,82
Rokua,1956,4,Finland,Karelia and Kainuu,Oulu,83
Archipelago,1982,500,Finland,Southwest,Turku,69
Helvetinjarvi,1982,50,Finland,Lake District,Tampere,77
Hiidenportti ,1982,45,Finland,Karelia and Kainuu,Oulu,242
Isojarvi ,1982,19,Finland,Lake District,Tampere,83
Kauhaneva-Pohjankangas ,1982,57,Finland,Bothnian Coast,Tampere,127
Lauhanvuori ,1982,53,Finland,Bothnian Coast,Tampere,138
Patvinsuo,1982,105,Finland,Karelia and Kainuu,Jyvaskyla,324
Riisitunturi ,1982,77,Finland,Finnish Lapland,Oulu,252
Salamajarvi,1982,62,Finland,Lake District,Jyvaskyla,140
Seitseminen,1982,46,Finland,Lake District,Tampere,70
Tiilikajarvi,1982,34,Finland,Karelia and Kainuu,Oulu,242
Urho Kekkonen ,1983,2550,Finland,Finnish Lapland,Oulu,457
Ekenas Archipelago ,1989,52,Finland,South Coast,Helsinki,92
Kolovesi,1990,23,Finland,Lake District,Jyvaskyla,205
Torronsuo,1990,26,Finland,Lake District,Turku,90
Bothnian Bay ,1991,157,Finland,Finnish Lapland,Oulu,87
Koli ,1991,30,Finland,Karelia and Kainuu,St Petersburg,395
Eastern Gulf of Finland ,1992,7,Finland,South Coast,Helsinki,140
Paijanne,1993,14,Finland,Lake District,Lahti,74
Puurijarvi-Isosuo ,1993,27,Finland,Lake District,Tampere,74
Nuuksio,1994,45,Finland,Helsinki and Around,Helsinki,35
Valkmusa ,1996,17,Finland,Karelia and Kainuu,Lahti,94
Kurjenrahka,1998,29,Finland,Southwest,Turku,39
Syote,2000,299,Finland,Karelia and Kainuu,Oulu,143
Leivonmaki,2003,29,Finland,Lake District,Jyvaskyla,48
Repovesi,2003,15,Finland,Lake District,Helsinki,191
Pallas-Yllastunturi ,2005,1020,Finland,Finnish Lapland,Oulu,406
Pyha-Luosto ,2005,142,Finland,Finnish Lapland,Oulu,317
Bothnian Sea ,2011,913,Finland,Southwest,Tampere,127
Sipoonkorpi ,2011,19,Finland,Helsinki and Around,Helsinki,31
Southern Konnevesi ,2014,15,Finland,Lake District,Jyvaskyla,87
Teijo,2015,34,Finland,South Coast,Turku,82
Hossa,2017,11,Finland,Karelia and Kainuu,Oulu,240
Salla,2022,100,Finland,Finnish Lapland,Oulu,315
Port-Cros,1963,46,France,Cote d'Azur,Marseille,89
Vanoise,1963,534,France,Alps and Jura,Turin,109
Pyrenees,1967,458,France,Pyrenees,Toulouse,156
Cevennes,1970,937,France,Massif Central,Montpellier,127
Ecrins,1973,1788,France,Alps and Jura,Grenoble,42
Mercantour,1979,679,France,Rhone Valley and Provence,Nice,51
Calanques,2012,520,France,Cote d'Azur,Marseille,13
Forets,2019,560,France,"The North, Burgundy",Dijon,50
Lower Oder Valley ,1955,165,Germany,Brandenburg,Szczecin,52
Bavarian Forest ,1970,242,Germany,Bavaria,Linz,107
Berchtesgaden,1978,210,Germany,Bavaria,Salzburg,38
Schleswig-Holstein Wadden Sea ,1985,4410,Germany,Schleswig-Holstein,Bremerhaven,108
Lower Saxon Wadden Sea ,1986,3458,Germany,Lower Saxony,Bremerhaven,41
Hamburg Wadden Sea ,1990,138,Germany,Schleswig-Holstein,Bremerhaven,41
Jasmund ,1990,30,Germany,Mecklenburg-Lower Pomerania,Rostock,30
Muritz,1990,308,Germany,Mecklenberg-Lower Pomerania,Rostock,102
Saxon Switzerland ,1990,94,Germany,Saxony,Dresden,48
Western Pomerania Lagoon Area ,1990,805,Germany,Mecklenberg-Lower Pomerania,Rostock,53
Hainich,1997,75,Germany,Thuringia,Kassel,97
Eifel,2004,107,Germany,North Rhine-Westphalia,Aachen,38
Kellerwald-Edersee ,2004,57,Germany,Hesse,Kassel,65
Harz ,2006,247,Germany,Saxony-Anhalt and Saxony,Gottingen,56
Black Forest ,2014,101,Germany,Baden-Wurttemberg,Strasbourg,59
Hunsruck-Hochwald ,2015,100,Germany,Rhineland-Palatinate and Saarland,Saarbrucken ,66
Hortobagy,1973,810,Hungary,Great Plain,Debrecen,24
Kiskunsag,1975,506,Hungary,Great Plain,Kecskemet,25
Bukk,1977,423,Hungary,Northern Uplands,Miskolc,57
Aggtelek,1985,202,Hungary,Northern Uplands,Miskolc,46
Ferto-Hansag ,1991,239,Hungary,Transdanubia,Bratislava,80
Danube-Drava ,1996,498,Hungary,Transdanubia,Pecs,56
Balaton Uplands ,1997,570,Hungary,Lake Baloton and the Bakony,Budapest,143
Danube-Ipoly,1997,607,Hungary,Danube Bend,Budapest,79
Koros-Maros ,1997,512,Hungary,Great Plain,Kecskemet,80
Orseg,2002,440,Hungary,Transdanubia,Graz,103
Þingvellir ,1930,240,Iceland,S Iceland,Reykjavik,47
Snæfellsjökull,2001,170,Iceland,W Iceland,Reykjavik,197
Vatnajökull,2008,"13,952",Iceland,SE Iceland,Reykjavik,320
Connemara,1980,20,Ireland,Galway and Mayo,Cork,285
Glenveagh,1984,170,Ireland,Donegal,Belfast,171
The Burren ,1991,15,Ireland,Limerick and Clare,Cork,154
Wicklow Mountains ,1991,205,Ireland,Around Dublin,Dublin,22
Wild Nephin ,1998,150,Ireland,Galway and Mayo,Dublin,265
Killarney,1932,105,Ireland`,Kerry,Cork,85
Gran Paradiso ,1922,700,Italy,Piemonte and Valle d’Aosta,Turin,147
"Abruzzo, Lazio and Molise ",1923,507,Italy,Abruzzo and Molise,Pescara,114
Circeo,1934,84,Italy,Rome and Lazio,Latina,8
Stelvio,1935,1307,Italy,Lombardy and Trentino-Alto Adige,Bolzano Bozen,63
Dolomiti Bellunesi ,1988,32,Italy,Veneto,Trento,90
Pollino,1988,1926,Italy,Calabria and Basilicata,Taranto,183
Sibillini Mountains ,1988,697,Italy,Marche and Umbria,Terni ,65
Aspromonte,1989,761,Italy,Calabria and Basilicata,Reggio Calabria,33
"Foreste Casentinesi, Monte Falterona and Campigna",1989,364,Italy,Emilia-Romagna and Tuscany,Forli,47
Tuscan Archipelago ,1989,747,Italy,Emilia-Romagna and Tuscany,Livorno,137
"Cilento, Valle di Diano and Alburni ",1991,1810,Italy,Campania,Salerno,64
Gargano,1991,1221,Italy,Puglia,Foggia,29
Gran Sasso and Monti della Laga ,1991,1413,Italy,"Marche, Rome and Lazio, Abruzzo and the Molise",Terni ,101
Majella,1991,704,Italy,Abruzzo and the Molise,Pescara,69
Val Grande ,1991,146,Italy,Piemonte and Valle d’Aosta,Novara,81
Vesuvius,1991,73,Italy,Campania,Naples,14
Archipelago of La Maddalena ,1994,201,Italy,Sardinia,Cagliari,305
Apennino Tosco-Emiliano ,1997,228,Italy,Emilia-Romagna and Tuscany,Livorno,106
Asinara,1997,270,Italy,Sardinia,Cagliari,284
Sila,1997,737,Italy,Calabria and Basilicata,Reggio Calabria,251
Gennargentu,1998,730,Italy,Sardinia,Cagliari,146
Cinque Terre ,1999,39,Italy,Liguria,Genoa,84
Alta Murgia ,2004,677,Italy,Puglia,Bari,53
Apennino Lucano-Val d’Agri-Lagonegrese,2007,690,Italy,Calabria and Basilicata,Salerno,109
Island of Pantelleria ,2016,66,Italy,Sicily,Palermo,281
Bjeshket e Nemuna ,2012,630,Kosovo,Kosovo,Pristina,121
Sharr Mountains ,2012,533,Kosovo,Kosovo,Pristina,70
Gauja,1973,918,Latvia,Vidzeme,Riga,94
Kemeri ,1997,362,Latvia,"Courland, Semigallia and Vidzeme",Riga,46
Slitere ,1999,164,Latvia,Courland,Riga,179
Razna,2007,596,Latvia,Latgale,Riga,276
Aukstaitija,1974,411,Lithuania,Aukstaitija,Vilnius,118
Dzukija,1981,585,Lithuania,Dzukija,Vilnius,104
Curonian Spit ,1991,274,Lithuania,Lithuania Minor,Klapeida,51
Trakai National Historic Park ,1991,81,Lithuania,Dzukija,Vilnius,30
Zemaitija,1991,218,Lithuania,Samogitia,Klapeida,74
Orhei ,2013,388,Moldova,Central Moldova,Chisinau,53
Durmitor,1952,390,Montenegro,NW Montenegro,Sarajevo ,152
Biogradska Gora ,1952,57,Montenegro,NE Montenegro,Mitrovica,199
Lovcen,1952,62,Montenegro,S Montenegro,Shkoder,115
Lake Skadar ,1983,400,Montenegro,SE Montenegro,Shkoder,71
Prokletije,2009,166,Montenegro,E Montenegro,Prizren (Kosovo),151
Veluwezoom,1930,50,Netherlands,Eastern Netherlands,Arnhem,11
De Hoge Veluwe ,1935,54,Netherlands,Eastern Netherlands,Arnhem,10
Schiermonnikoog,1989,54,Netherlands,North and Frisian Islands,Groningen,39
